full_name;job_titel_ID;overtime_minuteses;final_payment;paymen_date
Dr. Patti Rath;8;2;2;24.04.2024
Shelley Kuhn;9;0;4;24.04.2024
Sheldon Spencer;10;0;2;24.04.2024
Karl Thompson;1;2;4;24.04.2024
Jeannie Schuppe;2;5;1;24.04.2024
Alfonso Yost;3;3;4;24.04.2024
Dean Mraz;4;5;5;24.04.2024
Jack Nader;5;5;2;24.04.2024
Samantha Runolfsdottir;6;3;1;24.04.2024
Margie Yundt;7;5;1;24.04.2024
Sonya Thompson;8;5;5;24.04.2024
Jorge Kub Jr.;9;2;2;24.04.2024
Spencer Carroll DVM;10;4;3;24.04.2024
Brandi Herzog MD;1;1;4;24.04.2024
Eva Hodkiewicz;2;5;5;24.04.2024
Isaac Tillman;3;3;2;24.04.2024
Dana Schultz;4;3;5;24.04.2024
Loren Flatley;5;4;5;24.04.2024
Stella Skiles;6;1;1;24.04.2024
Valerie Rohan;7;5;5;24.04.2024
Sandy Schimmel;8;0;4;24.04.2024
Timmy Veum;9;5;1;24.04.2024
Peter Kreiger;10;3;2;24.04.2024
Clyde Von;1;5;3;24.04.2024
Kimberly Breitenberg Sr.;2;5;0;24.04.2024
Hannah Powlowski;3;1;2;24.04.2024
Clinton Fadel;4;3;1;24.04.2024
Grant Jerde IV;5;1;3;24.04.2024
Daisy Welch;6;4;2;24.04.2024
Brandy Bergstrom;7;5;4;24.04.2024
Ollie Reinger;8;3;3;24.04.2024
Jesus Von MD;9;0;5;24.04.2024
Bert Schuppe;10;0;4;24.04.2024
Mr. Dana Hudson Sr.;1;3;3;24.04.2024
Cedric Renner;2;0;0;24.04.2024
Ms. Grace Langworth;3;1;1;24.04.2024
Miss Blanca Emmerich;4;2;3;24.04.2024
Wilbert White DDS;5;3;5;24.04.2024
Anna Terry;6;1;4;24.04.2024
Dewey Block;7;4;1;24.04.2024
Ms. Isabel Wintheiser;8;0;5;24.04.2024
Jose Schmidt IV;9;5;5;24.04.2024
Lorene Stanton DDS;10;3;2;24.04.2024
Mrs. Ollie Carter;1;2;4;24.04.2024
Deborah Conroy;2;4;3;24.04.2024
Gwendolyn Moore;3;1;0;24.04.2024
Pat Waters;4;0;1;24.04.2024
Mr. Taylor Bosco;5;5;2;24.04.2024
Pablo Braun;6;0;4;24.04.2024
Fernando Sanford;7;4;3;24.04.2024
Clarence Reinger;8;4;5;24.04.2024
Laura McLaughlin;9;0;4;24.04.2024
Raul Bartell;10;4;1;24.04.2024
Laurence King;1;1;0;24.04.2024
Jackie McCullough;2;2;0;24.04.2024
Melissa Reynolds;3;1;0;24.04.2024
Anna Hayes;4;5;3;24.04.2024
Cornelius Mraz II;5;0;0;24.04.2024
Orville Mueller PhD;6;1;4;24.04.2024
Candice Waelchi;7;1;3;24.04.2024
Mr. Emmett Satterfield;8;2;1;24.04.2024
Julio Runolfsson;9;0;1;24.04.2024
Tomas Nader PhD;10;2;0;24.04.2024
Cory Corwin;1;2;2;24.04.2024
Rodney Bayer;2;2;2;24.04.2024
Kerry Jast;3;5;0;24.04.2024
Damon Langworth;4;3;3;24.04.2024
Freda Lueilwitz;5;0;5;24.04.2024
Alfred Connelly Jr.;6;2;2;24.04.2024
Angel Maggio II;7;2;1;24.04.2024
Mr. Woodrow Schmeler;8;1;2;24.04.2024
Miss Sadie Collins;9;1;0;24.04.2024
Joann Christiansen;10;0;1;24.04.2024
Marlon Nitzsche;1;3;1;24.04.2024
Dr. Brittany Harris;2;3;5;24.04.2024
June Jones Jr.;3;1;4;24.04.2024
Santos Mills;4;1;5;24.04.2024
Ronnie Lang MD;5;0;3;24.04.2024
Francis Murray;6;4;1;24.04.2024
Verna Shanahan;7;1;4;24.04.2024
Gayle Bernhard;8;3;2;24.04.2024
Joel Fritsch;9;5;1;24.04.2024
Irvin Leffler;10;5;0;24.04.2024
Annette Walsh;1;2;2;24.04.2024
Mr. Neal Marquardt;2;1;0;24.04.2024
Wayne Marks;3;1;1;24.04.2024
Marc Spencer;4;1;5;24.04.2024
Nellie Schumm;5;3;5;24.04.2024
Mrs. Lola Dibbert;6;4;4;24.04.2024
Roger Ward;7;3;1;24.04.2024
Bryan KeelingJakubowski;8;2;5;24.04.2024
Jackie Gusikowski;9;1;2;24.04.2024
Dr. Hazel Beatty;10;5;1;24.04.2024
Joseph Carter;1;3;0;24.04.2024
Jason Funk;2;4;2;24.04.2024
Marsha Reichel;3;1;0;24.04.2024
Malcolm Gerhold;4;5;4;24.04.2024
Bethany Thompson;5;2;5;24.04.2024
Micheal McClure;6;2;2;24.04.2024
Christine Wilderman II;7;3;3;24.04.2024
Rita Roberts;8;4;3;24.04.2024
Silvia JonesAltenwerth;9;2;4;24.04.2024
Darren Stark;10;4;5;24.04.2024
Angel Schmeler;1;4;4;24.04.2024
Jamie Bauch V;2;4;2;24.04.2024
Chelsea Lynch;3;4;1;24.04.2024
Miss Diana Ruecker;4;5;4;24.04.2024
Seth Schroeder;5;0;2;24.04.2024
Dr. Marcus Boyle;6;3;4;24.04.2024
Jackie Lockman;7;0;3;24.04.2024
George Davis;8;0;1;24.04.2024
Elias Yost;9;5;5;24.04.2024
Anna West;10;1;4;24.04.2024
Tyrone Bode;1;0;0;24.04.2024
Ramiro ZboncakLangworth;2;4;3;24.04.2024
Emmett Macejkovic;3;5;1;24.04.2024
Lula Maggio;4;2;2;24.04.2024
Paulette Wisozk;5;3;4;24.04.2024
Jonathan Roberts;6;5;4;24.04.2024
Cindy Hahn;7;1;2;24.04.2024
Darin Murphy;8;2;2;24.04.2024
Conrad Ziemann II;9;3;1;24.04.2024
Jerry Douglas;10;1;1;24.04.2024
Jenny Kunze;1;0;4;24.04.2024
Ignacio Collier;2;4;3;24.04.2024
Jan Shields;3;3;2;24.04.2024
Bertha D'Amore III;4;3;5;24.04.2024
Janie Stoltenberg;5;4;3;24.04.2024
April Harris;6;0;0;24.04.2024
Ms. Olive Streich;7;4;2;24.04.2024
Kelli Flatley;8;3;3;24.04.2024
Cornelius Dooley;9;3;5;24.04.2024
Glenda Senger;10;1;2;24.04.2024
Penny MedhurstProhaska;1;3;0;24.04.2024
Glenda MedhurstHamill PhD;2;4;2;24.04.2024
Victoria LarsonJacobs;3;5;4;24.04.2024
Glen Crona;4;0;1;24.04.2024
Dr. Nellie Beier;5;4;3;24.04.2024
Lee Blanda;6;1;2;24.04.2024
Miranda Kohler;7;2;4;24.04.2024
Larry Macejkovic;8;1;0;24.04.2024
Ruth Boehm;9;5;1;24.04.2024
Santos Schiller;10;5;2;24.04.2024
Leo Stokes;1;2;2;24.04.2024
Ronald Schmitt;2;5;3;24.04.2024
Dwayne Dach;3;4;4;24.04.2024
Evan Huel;4;2;5;24.04.2024
Billie Zulauf V;5;4;0;24.04.2024
Mercedes Hagenes;6;5;5;24.04.2024
Sara Nader;7;0;0;24.04.2024
Latoya Wisoky;8;1;1;24.04.2024
Sherri Schoen;9;3;1;24.04.2024
Dr. Theodore Ortiz;10;4;1;24.04.2024
Kenny Sauer;1;1;2;24.04.2024
Tami Schultz;2;4;2;24.04.2024
Clifford Cronin;3;3;2;24.04.2024
Dr. Oliver Wintheiser;4;2;1;24.04.2024
Joe Zemlak;5;0;1;24.04.2024
Andrew Moore;6;4;5;24.04.2024
Dr. Gerardo Pacocha;7;0;0;24.04.2024
Elsie White III;8;3;2;24.04.2024
Gordon Corkery II;9;1;3;24.04.2024
Jana Mertz DVM;10;4;2;24.04.2024
Patti O'Reilly;1;5;1;24.04.2024
Marie O'Kon;2;2;3;24.04.2024
Lance Hegmann;3;1;4;24.04.2024
Maurice Torphy;4;5;0;24.04.2024
June Gerhold;5;5;0;24.04.2024
Helen Kassulke;6;0;2;24.04.2024
Thomas Price;7;0;1;24.04.2024
Pedro Rowe;8;3;2;24.04.2024
Pam Cronin II;9;1;4;24.04.2024
Arthur Boyer;10;4;5;24.04.2024
Lance Rogahn;1;2;2;24.04.2024
April Kuhic;2;2;1;24.04.2024
Elizabeth Stroman;3;1;5;24.04.2024
Ms. Bernadette Price;4;4;3;24.04.2024
Frances Terry;5;0;2;24.04.2024
Myra Gusikowski;6;1;0;24.04.2024
Angelo Schultz I;7;0;0;24.04.2024
Maria Trantow;8;5;0;24.04.2024
Karla Skiles;9;3;4;24.04.2024
Aaron Jakubowski;10;4;5;24.04.2024
Mr. Edmond HyattHegmann;1;2;1;24.04.2024
Alberta Hilpert Jr.;2;1;4;24.04.2024
Nettie Wolf;3;2;4;24.04.2024
Faith Jast DVM;4;0;3;24.04.2024
Bryan Mitchell;5;4;2;24.04.2024
Paula Medhurst;6;5;4;24.04.2024
Blanca Metz;7;5;1;24.04.2024
Dr. Dixie Witting;8;4;4;24.04.2024
Nettie Kovacek;9;2;3;24.04.2024
Ed Balistreri DVM;10;2;5;24.04.2024
Nelson Block;1;3;2;24.04.2024
Gayle Klein;2;4;0;24.04.2024
Willis Trantow;3;3;4;24.04.2024
Christie Hansen;4;2;3;24.04.2024
Dr. Max Jacobi;5;3;5;24.04.2024
Shari Paucek;6;3;2;24.04.2024
Katie SchinnerDeckow;7;0;3;24.04.2024
Toby Wolff;8;4;5;24.04.2024
Bernadette Auer;9;4;0;24.04.2024
Vernon Wehner;10;5;3;24.04.2024
Mr. Wallace Bernhard;1;5;2;24.04.2024
Miss Lee Hansen;2;1;1;24.04.2024
Debra Maggio DDS;3;2;4;24.04.2024
Wendy Franecki;4;5;0;24.04.2024
Jenny Dach;5;1;2;24.04.2024
Terrence Shields;6;2;5;24.04.2024
Carla Bartoletti;7;4;0;24.04.2024
Mr. Arnold Jacobs III;8;4;0;24.04.2024
Cindy Mann;9;2;0;24.04.2024
Paulette Smith;10;3;2;24.04.2024
Bradley Gusikowski;1;0;5;24.04.2024
Theresa Dare;2;5;2;24.04.2024
Damon Orn;3;0;0;24.04.2024
Naomi Konopelski;4;3;1;24.04.2024
Jane Keebler;5;5;4;24.04.2024
Ellis Gulgowski;6;3;4;24.04.2024
Richard ZiemannDouglas;7;3;0;24.04.2024
Deborah Cronin;8;2;0;24.04.2024
Guadalupe Murazik;9;5;5;24.04.2024
Annette Lowe;10;2;1;24.04.2024
Maureen Kihn;1;0;2;24.04.2024
Jane Bahringer Jr.;2;0;0;24.04.2024
Julia Hickle;3;3;3;24.04.2024
Terrance BreitenbergO'Kon;4;3;2;24.04.2024
Israel Carroll;5;3;4;24.04.2024
Mr. Orville Yost DVM;6;3;5;24.04.2024
Courtney Abbott;7;3;0;24.04.2024
Jan Wintheiser;8;0;3;24.04.2024
Jesse Stokes;9;5;5;24.04.2024
Ismael Hegmann;10;3;0;24.04.2024
Gerald Collier;1;3;1;24.04.2024
Doreen Fadel;2;0;0;24.04.2024
Kim Fay;3;5;0;24.04.2024
Dianne Smitham;4;1;2;24.04.2024
Evelyn Crist;5;3;4;24.04.2024
Brandon Oberbrunner;6;1;1;24.04.2024
Laverne Stanton;7;4;0;24.04.2024
Reginald Sporer;8;1;2;24.04.2024
Karl Christiansen;9;3;1;24.04.2024
Evan Weimann;10;5;1;24.04.2024
Darrel DavisWelch;1;3;4;24.04.2024
Jose Cruickshank;2;2;2;24.04.2024
Barbara Schowalter;3;5;2;24.04.2024
Debbie Schaefer;4;2;4;24.04.2024
Alfred Cummings;5;2;5;24.04.2024
Naomi Kemmer;6;2;3;24.04.2024
Mr. Devin Blick;7;1;3;24.04.2024
Gayle Luettgen;8;3;1;24.04.2024
Carmen Witting;9;5;0;24.04.2024
Sarah Muller;10;2;3;24.04.2024
Jacob Jacobi;1;4;0;24.04.2024
Willard Armstrong;2;1;5;24.04.2024
Essie Heller;3;2;0;24.04.2024
Ralph Blanda;4;1;3;24.04.2024
Frank Kuphal;5;3;1;24.04.2024
Mathew BlandaLemke;6;1;0;24.04.2024
Winston Goldner DVM;7;4;4;24.04.2024
Justin Hettinger;8;2;5;24.04.2024
Irvin Smith III;9;0;2;24.04.2024
Robin Pouros;10;4;1;24.04.2024
Jodi Greenfelder;1;2;4;24.04.2024
Fernando Reichert;2;3;5;24.04.2024
Hattie Klocko;3;2;1;24.04.2024
Roman Franecki;4;5;5;24.04.2024
Mr. Gary Mills;5;4;3;24.04.2024
Wade Davis;6;1;5;24.04.2024
Marlon Orn;7;1;4;24.04.2024
Allen Rutherford;8;5;3;24.04.2024
Wilfred Boehm;9;0;3;24.04.2024
Edmond Romaguera;10;4;1;24.04.2024
Christy SchusterVeum Jr.;1;1;4;24.04.2024
Patrick Dooley;2;2;3;24.04.2024
Mattie Skiles PhD;3;4;0;24.04.2024
Misty Mertz;4;5;5;24.04.2024
Mr. Jeffery Rohan;5;3;5;24.04.2024
Eva Mohr;6;2;4;24.04.2024
Cora McKenzie;7;3;2;24.04.2024
Alan Collins;8;2;4;24.04.2024
Calvin Marquardt;9;0;0;24.04.2024
Nathaniel Batz;10;4;2;24.04.2024
Jerry Stokes;1;4;3;24.04.2024
Grace Breitenberg;2;0;2;24.04.2024
Lawrence Lindgren;3;4;4;24.04.2024
Seth Pacocha;4;4;3;24.04.2024
Charlie Tromp;5;2;3;24.04.2024
Louis Glover;6;3;4;24.04.2024
Joe Botsford;7;0;1;24.04.2024
Mona Langworth;8;3;1;24.04.2024
Kathleen DurganBeer;9;4;3;24.04.2024
Zachary Bins;10;5;5;24.04.2024
Tina Mohr;1;4;4;24.04.2024
Tracey Reichel;2;4;0;24.04.2024
Gilbert Flatley;3;0;2;24.04.2024
Homer Heidenreich;4;5;2;24.04.2024
Christie Blick;5;2;1;24.04.2024
Fannie Steuber;6;1;2;24.04.2024
Allan Armstrong;7;1;5;24.04.2024
Allen Ernser;8;3;5;24.04.2024
Kelly Gerlach;9;4;3;24.04.2024
Leslie Krajcik;10;0;1;24.04.2024
Ms. Teresa Sipes;1;5;2;24.04.2024
Josefina BreitenbergRodriguez;2;0;1;24.04.2024
Enrique Kiehn;3;5;2;24.04.2024
Shawna SmithamWisoky;4;2;0;24.04.2024
Kristen Murphy;5;1;4;24.04.2024
Dr. Fred O'Kon;6;1;4;24.04.2024
Rickey Kunde;7;2;0;24.04.2024
Dexter Herman;8;4;0;24.04.2024
Gretchen Ruecker;9;4;1;24.04.2024
Irma Mayert;10;1;2;24.04.2024
Orlando Jacobson;1;4;0;24.04.2024
Mario Streich;2;0;4;24.04.2024
Angelina Berge;3;5;3;24.04.2024
Beth Marks;4;5;4;24.04.2024
Mitchell Gerhold Sr.;5;1;1;24.04.2024
Mr. Jason Gottlieb;6;0;1;24.04.2024
Paul Towne IV;7;3;0;24.04.2024
Jeremiah Luettgen;8;3;4;24.04.2024
Mrs. Eula Bernhard;9;5;2;24.04.2024
Kerry Powlowski;10;1;4;24.04.2024
Lionel Huels;1;5;2;24.04.2024
Katie Zulauf;2;4;0;24.04.2024
Lawrence Tromp Sr.;3;1;4;24.04.2024
Dr. Gina Beer;4;3;4;24.04.2024
Brian Mann;5;3;5;24.04.2024
Dr. Sean Hauck DVM;6;2;3;24.04.2024
Iris Purdy;7;5;0;24.04.2024
Monique Turcotte;8;4;2;24.04.2024
Joe Schneider;9;5;4;24.04.2024
Kendra Jast;10;0;5;24.04.2024
Hilda Hauck;1;2;1;24.04.2024
Sheri Hane;2;2;1;24.04.2024
Paula Boyer;3;0;1;24.04.2024
Claude Rath;4;1;5;24.04.2024
Dora KshlerinJaskolski DDS;5;2;0;24.04.2024
Raul Ernser;6;1;3;24.04.2024
Russell Mitchell;7;1;1;24.04.2024
Mable Greenfelder;8;1;3;24.04.2024
Melvin MayerBuckridge;9;3;5;24.04.2024
Brett Boyer;10;4;2;24.04.2024
Otis Koepp;1;4;5;24.04.2024
Randall Runolfsdottir;2;5;0;24.04.2024
Ida Hilll;3;0;5;24.04.2024
Elijah Swaniawski Jr.;4;2;3;24.04.2024
Dewey Murray;5;4;4;24.04.2024
Felipe Gulgowski;6;2;3;24.04.2024
Ron Cole;7;5;1;24.04.2024
Yvonne Balistreri;8;3;0;24.04.2024
Marie Ryan;9;3;2;24.04.2024
Rhonda Ebert;10;0;0;24.04.2024
Sergio Renner Sr.;1;1;3;24.04.2024
Veronica Schmidt;2;1;4;24.04.2024
Kelly Hahn;3;3;4;24.04.2024
Oscar FisherReichert;4;3;4;24.04.2024
Lindsey SchinnerBruen;5;4;5;24.04.2024
Ana Gottlieb;6;1;2;24.04.2024
Terry Beer;7;1;0;24.04.2024
Billy Kunze;8;1;0;24.04.2024
Everett Mosciski DVM;9;4;2;24.04.2024
Gregg Pacocha;10;2;5;24.04.2024
Dr. May Jaskolski;1;1;5;24.04.2024
Ruby Crona;2;1;2;24.04.2024
Frances Reichert III;3;0;0;24.04.2024
Gabriel Mertz;4;1;3;24.04.2024
Miss Diana Conroy;5;1;4;24.04.2024
Jeffery Bins;6;4;4;24.04.2024
Randolph Tremblay;7;0;3;24.04.2024
Tom Gorczany;8;2;5;24.04.2024
Lester Lemke;9;5;4;24.04.2024
David Satterfield;10;3;1;24.04.2024
Arthur Willms;1;0;0;24.04.2024
Maurice Prosacco;2;4;2;24.04.2024
Simon Moen;3;4;1;24.04.2024
Joy Kshlerin;4;1;0;24.04.2024
Alicia Bode;5;0;2;24.04.2024
Carmen Parisian;6;1;5;24.04.2024
Edith O'Keefe;7;0;4;24.04.2024
Sidney Kulas;8;3;4;24.04.2024
Mr. Ken Bogan;9;1;4;24.04.2024
Elizabeth Muller;10;3;2;24.04.2024
Bryant McLaughlin;1;5;1;24.04.2024
Miss Christy Mertz II;2;1;5;24.04.2024
Miranda Watsica I;3;5;3;24.04.2024
Dr. Carlton Mayer II;4;3;0;24.04.2024
Blake Aufderhar;5;2;3;24.04.2024
Andre Denesik;6;4;2;24.04.2024
Michael Schroeder;7;1;4;24.04.2024
Lorenzo Rempel;8;5;3;24.04.2024
Julia Koch;9;1;4;24.04.2024
Carrie Stark;10;5;0;24.04.2024
Glenn Grimes;1;4;1;24.04.2024
Carol Thiel;2;0;2;24.04.2024
Alice Mueller V;3;5;3;24.04.2024
Ginger Nienow;4;1;3;24.04.2024
Sam Mosciski;5;2;4;24.04.2024
Daryl Gleichner;6;0;2;24.04.2024
Robin Upton;7;0;4;24.04.2024
Lynn Bernier;8;0;0;24.04.2024
Meghan Haag;9;1;3;24.04.2024
Rufus Bruen;10;5;4;24.04.2024
Tony Cruickshank;1;0;0;24.04.2024
Dr. Jason Muller;2;4;2;24.04.2024
Noah Hoeger MD;3;4;3;24.04.2024
Kelly Wolf;4;1;1;24.04.2024
Felipe Flatley;5;4;3;24.04.2024
Mattie Wyman;6;5;3;24.04.2024
Jo SpinkaConroy;7;2;2;24.04.2024
Colin Daugherty;8;5;3;24.04.2024
Garrett Halvorson;9;1;5;24.04.2024
Marco Gorczany;10;0;3;24.04.2024
Laverne Berge;1;0;4;24.04.2024
Miss Jody Nikolaus DDS;2;1;5;24.04.2024
Guy Jakubowski;3;1;4;24.04.2024
Rickey Tillman;4;1;5;24.04.2024
Salvatore Parisian;5;4;3;24.04.2024
Anthony Tromp;6;4;5;24.04.2024
Willie Heidenreich;7;4;2;24.04.2024
Miss Marsha Adams;8;1;5;24.04.2024
Mr. Andres Abshire;9;3;1;24.04.2024
Felix Treutel;10;4;1;24.04.2024
Blanche Roob;1;2;3;24.04.2024
Dr. Marvin Beer;2;3;2;24.04.2024
Alvin Koelpin;3;1;5;24.04.2024
Mr. Van Torphy;4;4;1;24.04.2024
Ben Franey;5;1;5;24.04.2024
Miss Kimberly Corkery;6;5;2;24.04.2024
Bernard Yundt;7;5;3;24.04.2024
Marco Schaefer;8;0;0;24.04.2024
Mr. Moses Abbott;9;5;3;24.04.2024
Randall BrakusHane;10;2;5;24.04.2024
Nicole Tremblay V;1;0;3;24.04.2024
Ruben Johnston;2;1;2;24.04.2024
Edith Schmitt;3;1;3;24.04.2024
Arnold Keeling;4;1;4;24.04.2024
Gary Harvey;5;3;4;24.04.2024
Flora Wolff;6;5;5;24.04.2024
Lyle Spinka II;7;1;1;24.04.2024
Bernard Marvin;8;3;1;24.04.2024
Ira Heidenreich;9;4;0;24.04.2024
Mr. Leslie Nader;10;2;3;24.04.2024
Jerome Treutel;1;1;1;24.04.2024
Marcia Bednar;2;2;0;24.04.2024
Christian Wehner;3;0;1;24.04.2024
Moses Kertzmann;4;3;2;24.04.2024
Gail Kulas;5;1;1;24.04.2024
Raquel Becker V;6;0;3;24.04.2024
Gilbert Runte;7;1;3;24.04.2024
Ronnie Zemlak;8;0;1;24.04.2024
Gladys Cremin;9;0;3;24.04.2024
Stacey Swift;10;0;5;24.04.2024
Jared Mohr;1;0;1;24.04.2024
Craig Labadie;2;5;4;24.04.2024
Claire Kub Sr.;3;1;3;24.04.2024
Bernice Steuber;4;0;3;24.04.2024
Henry Zulauf;5;5;1;24.04.2024
Nora Stracke;6;3;3;24.04.2024
Suzanne Dooley;7;3;2;24.04.2024
Don Towne;8;4;4;24.04.2024
Miss Esther Bailey;9;0;0;24.04.2024
Olivia Altenwerth;10;0;2;24.04.2024
Darin Osinski;1;3;5;24.04.2024
Laurie Langosh;2;5;4;24.04.2024
Charlene Klocko;3;1;2;24.04.2024
Kimberly Upton;4;3;2;24.04.2024
Marlene Rogahn Jr.;5;1;2;24.04.2024
Leticia VonAnderson;6;0;1;24.04.2024
Rickey Adams;7;2;1;24.04.2024
Leo Runolfsson;8;3;3;24.04.2024
Leticia HesselBartell;9;5;1;24.04.2024
Ben Parisian;10;4;3;24.04.2024
Miss Ana O'Conner;1;3;3;24.04.2024
Francisco Smith;2;5;1;24.04.2024
Dr. Melissa Spencer;3;0;3;24.04.2024
Ray TillmanDicki;4;0;4;24.04.2024
Brooke Prohaska;5;5;2;24.04.2024
Wade Schmitt;6;3;0;24.04.2024
Cary Hansen;7;5;3;24.04.2024
Gregory Raynor;8;2;4;24.04.2024
Garry Hackett;9;4;1;24.04.2024
Mr. Sam Auer;10;0;0;24.04.2024
Dr. Bernard Collier;1;4;3;24.04.2024
Cesar Beatty;2;0;5;24.04.2024
Dianna Bashirian;3;5;1;24.04.2024
Henrietta Harber;4;0;1;24.04.2024
Oscar Trantow;5;2;2;24.04.2024
Robyn Gerhold III;6;4;2;24.04.2024
Ms. Ginger Ledner II;7;5;1;24.04.2024
Sharon Cole;8;0;3;24.04.2024
Randy Jacobi DDS;9;0;2;24.04.2024
Leigh Abernathy;10;2;2;24.04.2024
Annette Hamill DVM;1;2;0;24.04.2024
Dr. Grant Ryan;2;1;0;24.04.2024
Jeanne Sawayn;3;4;5;24.04.2024
Tim Murphy;4;0;0;24.04.2024
Joel Monahan;5;0;3;24.04.2024
Lola Turner;6;2;4;24.04.2024
Gary Hansen;7;3;5;24.04.2024
Ollie Luettgen;8;2;1;24.04.2024
Joanna Kunde PhD;9;0;2;24.04.2024
Naomi Roob;10;0;1;24.04.2024
Alton Herzog;1;5;0;24.04.2024
Jo Koss V;2;0;2;24.04.2024
Chad Howe;3;2;1;24.04.2024
Mr. Wilbur Douglas;4;0;0;24.04.2024
Celia Gibson;5;3;4;24.04.2024
Belinda Brakus PhD;6;1;5;24.04.2024
Mrs. Kathleen Gislason;7;0;0;24.04.2024
Jennifer Terry;8;0;5;24.04.2024
Noel Feeney;9;4;3;24.04.2024
Vanessa Donnelly;10;2;5;24.04.2024
Christine HeidenreichHahn;1;2;5;24.04.2024
Maryann Buckridge;2;5;1;24.04.2024
Tami Von;3;3;2;24.04.2024
Clifford Rippin;4;3;2;24.04.2024
Martin Lockman;5;3;0;24.04.2024
Dolores Stroman;6;1;2;24.04.2024
Monica Cummerata Sr.;7;5;5;24.04.2024
Clyde Schiller;8;5;4;24.04.2024
Tina Kessler;9;0;1;24.04.2024
Justin Blick;10;2;1;24.04.2024
Ramon Waelchi;1;5;1;24.04.2024
Vickie Wiegand;2;0;4;24.04.2024
Pat Wolff;3;1;4;24.04.2024
Ms. Marie Green;4;2;1;24.04.2024
Otis Medhurst;5;2;3;24.04.2024
Otis Runolfsdottir;6;1;2;24.04.2024
Clifton Gleason;7;2;1;24.04.2024
Veronica Gerhold;8;5;4;24.04.2024
Miranda Dooley;9;3;3;24.04.2024
Juana Howell;10;4;2;24.04.2024
Cathy Murazik;1;1;3;24.04.2024
Mr. Willis Ward;2;0;5;24.04.2024
Miss Wendy KautzerZieme;3;5;0;24.04.2024
Stephanie Greenfelder IV;4;4;4;24.04.2024
Luther Gibson;5;0;0;24.04.2024
Theresa Parisian;6;4;0;24.04.2024
Jimmie Littel Jr.;7;0;1;24.04.2024
Stacey Kuvalis;8;4;3;24.04.2024
Tracy Gleason;9;4;5;24.04.2024
Jay Strosin;10;1;0;24.04.2024
Terri Luettgen;1;3;0;24.04.2024
Lauren Crona;2;5;4;24.04.2024
Lucas Becker;3;4;4;24.04.2024
Jeannie Fritsch;4;3;4;24.04.2024
Rebecca Douglas;5;4;5;24.04.2024
Fred Walsh;6;1;0;24.04.2024
Dustin Ullrich;7;5;3;24.04.2024
Ramon Weissnat;8;0;4;24.04.2024
Karla Fisher;9;2;3;24.04.2024
Karen Ruecker;10;0;4;24.04.2024
Della Ratke I;1;1;5;24.04.2024
Mrs. Blanche Watsica;2;0;1;24.04.2024
Kurt Pagac;3;3;3;24.04.2024
Miss Beatrice GottliebRomaguera;4;2;2;24.04.2024
Terri Block;5;1;4;24.04.2024
Ida Kuhn;6;1;4;24.04.2024
Louis Abbott;7;1;2;24.04.2024
Phillip Dibbert;8;4;0;24.04.2024
Alicia Champlin;9;1;0;24.04.2024
Tracy Murray;10;1;2;24.04.2024
Eva Boehm;1;4;3;24.04.2024
James CrooksToy;2;0;3;24.04.2024
Cecelia Leffler;3;5;4;24.04.2024
Drew Mertz;4;0;3;24.04.2024
Melanie Towne;5;1;5;24.04.2024
Morris Strosin;6;1;3;24.04.2024
Eva Kuphal;7;1;4;24.04.2024
Emma Rutherford PhD;8;5;5;24.04.2024
Jessie Ferry;9;4;4;24.04.2024
Orville Hoppe;10;1;1;24.04.2024
Richard Gottlieb;1;1;4;24.04.2024
Lauren Greenfelder;2;5;3;24.04.2024
Dr. Marcus Hermiston;3;4;0;24.04.2024
Jim Tremblay;4;4;5;24.04.2024
Tammy Vandervort;5;1;2;24.04.2024
Marion Dooley;6;1;2;24.04.2024
Lawrence MacGyver;7;3;4;24.04.2024
Roberta Yost;8;5;4;24.04.2024
Sheila Quitzon;9;1;5;24.04.2024
Sonya RippinKulas;10;3;0;24.04.2024
Tanya Kozey;1;2;3;24.04.2024
Nettie Hammes;2;4;4;24.04.2024
Clay BlockBednar;3;1;3;24.04.2024
Mr. Ricardo Kshlerin;4;2;4;24.04.2024
Joe Rau;5;2;4;24.04.2024
Terri Morar;6;0;1;24.04.2024
Richard Hartmann;7;1;4;24.04.2024
Erin Boyer;8;2;2;24.04.2024
Elaine Gulgowski I;9;1;4;24.04.2024
Olive Zulauf;10;3;3;24.04.2024
Archie Kautzer;1;4;0;24.04.2024
Lucy Reinger;2;1;4;24.04.2024
Edwin Baumbach;3;5;4;24.04.2024
Todd Pfannerstill;4;5;4;24.04.2024
Carla Abshire I;5;5;0;24.04.2024
Elisa Langosh IV;6;2;0;24.04.2024
Curtis GorczanyBartell;7;3;3;24.04.2024
Michele Denesik;8;3;0;24.04.2024
Oliver Morar;9;4;3;24.04.2024
Rex Quitzon;10;4;1;24.04.2024
Leland Fay;1;2;4;24.04.2024
Jorge Brown;2;2;4;24.04.2024
Tabitha Bosco;3;3;3;24.04.2024
Dr. Wallace HillsBarton;4;1;4;24.04.2024
Cameron Mann;5;5;4;24.04.2024
Mrs. Chelsea Kuhic;6;0;3;24.04.2024
Melba Lindgren;7;4;0;24.04.2024
Pamela Koelpin;8;3;1;24.04.2024
Tomas Stiedemann;9;5;2;24.04.2024
Andy McClure;10;1;4;24.04.2024
Miss Eunice Wyman;1;5;2;24.04.2024
